Section,Certificate,Topic,Question,Answer format,Required,Required when,Answer
Operator Details,N/A,Identity,Full legal name of the organization that will possess and control this Subordinate CA's private key.,Legal name.,required,,
Operator Details,N/A,Standing,"Which describes the operator today? (a) a CA Owner with a Root CA Certificate included in the Apple Root Program; (b) not an included CA Owner, but already operates Subordinate CA Certificates under an included Root CA Certificate; (c) neither. For (a) name the Trust Purposes. For (b) name each Subordinate CA Certificate.","Pick a, b, or c, plus the names requested.",required,,
Operator Details,N/A,Contact,"If the operator does not already have current contact details in CCADB, give a name, email address, and role.","Name, email, role. Or state that CCADB already has them.",conditional,The operator has no current contact details in CCADB.,
Operator Details,N/A,Oversight,"What did you do to confirm this operator conforms to the Apple Root Program Policy, and what did you find? Include how you learn of the operator's CP/CPS changes and how you review incidents it reports.",Up to 5 sentences.,required,,
Operational Details,N/A,Policy,"Public URL of the CP/CPS that this Subordinate CA Certificate, and every certificate it signs, will conform to.",One URL.,required,,
Operational Details,N/A,Policy,Is that CP/CPS a single combined document scoped only to the Trust Purpose stated for this Subordinate CA?,Yes or No.,required,,
Operational Details,N/A,Reporting,"Will the Key Generation Ceremony for this key be addressed in the operator's annual audit report, or in a separate report? Give the date you expect the chosen report to be published in CCADB.","""Annual"" or ""separate"", plus a date.",required,,
Operational Details,N/A,Justification,Why must this Subordinate CA be operated by an organization other than the owner of the parent CA?,Up to 3 sentences.,required,,
Certificate Details,Certificate 01,Parent,Subject Name of the parent CA Certificate that will sign this certificate.,Subject Name.,required,,
Certificate Details,Certificate 01,Parent,SHA-256 fingerprint of that parent CA Certificate.,64 hexadecimal characters.,required,,
Certificate Details,Certificate 01,Subject,"Complete Subject Distinguished Name, exactly as it will appear in the certificate.","Full DN, character for character.",required,,
Certificate Details,Certificate 01,Purpose,"Trust Purpose for this certificate, per Appendix A of the Apple Root Program Policy.",One Trust Purpose.,required,,
Certificate Details,Certificate 01,Purpose,Every Extended Key Usage this certificate will contain.,List of EKUs.,required,,
Certificate Details,Certificate 01,Key,Public key algorithm and the signature hash algorithm.,"For example EC secp384r1 signed with ecdsaWithSHA384, or RSA 4096 bits signed with SHA256WithRSA.",required,,
Certificate Details,Certificate 01,Key,"Confirm this certificate's public key will not appear in any other certificate. If it will, list each of those certificates and the EKUs it asserts.","Yes, or a list.",required,,
Certificate Details,Certificate 01,Validity,Will the validity period for this Subordinate CA Certificate be greater than 3 years?,Yes or No.,required,,
Certificate Details,Certificate 01,Validity,What is the maximum validity in days?,Number of days.,required,,
Certificate Details,Certificate 01,Constraints,Will this certificate assert pathLenConstraint?,Yes or No.,required,,
Certificate Details,Certificate 01,Constraints,Will the pathLenConstraint value be 0?,Yes or No.,conditional,pathLenConstraint will be asserted.,
Certificate Details,Certificate 01,Lifecycle,"If this certificate replaces an existing CA Certificate, name that certificate and state when it will be revoked or allowed to expire. State that it replaces nothing if that is the case.","Certificate name plus a date, or ""replaces nothing"".",required,,
Cross-Sign Additionals,Certificate 01,Existing certificate,"Subject Name and SHA-256 fingerprint of the existing CA Certificate to be cross-signed, plus a Certificate Transparency or crt.sh link.","Subject Name, 64 hexadecimal characters, and a link.",conditional,Only when the request is to cross-sign a CA Certificate that already exists. Leave blank for a new Subordinate CA Certificate.,
Cross-Sign Additionals,Certificate 01,Reason,"Why is the cross-sign needed, and what becomes of the original chain: removal, deprecation, or migration?",Up to 3 sentences.,conditional,Only when the request is to cross-sign a CA Certificate that already exists. Leave blank for a new Subordinate CA Certificate.,
Cross-Sign Additionals,Certificate 01,Migration,"Maximum period this cross-signed certificate will be in use, the target end state, and what triggers its retirement.","Up to 3 sentences, including a date or duration.",conditional,Only when the request is to cross-sign a CA Certificate that already exists. Leave blank for a new Subordinate CA Certificate.,
Cross-Sign Additionals,Certificate 01,Cross-sign key,"A cross-sign shares its public key with the existing certificate by design. List every certificate that contains this public key, the EKUs each asserts, and any Name Constraints or EKU restrictions that apply to them.",One line per certificate.,conditional,Only when the request is to cross-sign a CA Certificate that already exists. Leave blank for a new Subordinate CA Certificate.,
Cross-Sign Additionals,Certificate 01,Audit,"For every CA key in both hierarchies involved in this cross-sign, confirm audit evidence is retained for the full life of that key material, and say who holds it.",Up to 3 sentences.,conditional,Only when the request is to cross-sign a CA Certificate that already exists. Leave blank for a new Subordinate CA Certificate.,
