Area,Theme,Question,Yes/No
General PKI,Incident handling & disclosure,"Has the CA Owner disclosed in CCADB every subordinate CA certificate in this hierarchy, including any not logged to Certificate Transparency?",
General PKI,Incident handling & disclosure,Does the CA Owner publicly disclose all compliance incidents within 24 hours of discovery?,
General PKI,Incident handling & disclosure,"In the last 2 years, has the CA Owner had no repeated incidents of a similar kind?",
General PKI,Incident handling & disclosure,"In the last 2 years, has the CA Owner been free of incidents that pre-issuance linting would have caught?",
General PKI,Incident handling & disclosure,"Can the CA Owner enumerate and analyze its entire valid-certificate population (for example, to identify every certificate affected by an incident) using only its own systems, without relying on external sources such as crt.sh or Censys?",
General PKI,Incident handling & disclosure,Does the CA Owner maintain a documented incident-response command structure that names a role with authority to halt issuance and command revocation?,
General PKI,Incident handling & disclosure,Has the CA Owner contributed at least one public comment to a Bugzilla incident report owned by another CA Owner in the past 2 years?,
General PKI,Incident handling & disclosure,"Does the CA Owner's incident root-cause analysis identify all contributing factors, not only the immediate cause?",
General PKI,Audit & compliance,"In the last 3 years, did the CA Owner avoid having an audit finding (a qualification, exception, nonconformity, or material weakness) that it fixed and closed during the audit period, so it did not appear on the final audit report?",
General PKI,Audit & compliance,"In the last 2 years, has the CA Owner been free of any outdated-audit-statement reminder from CCADB?",
General PKI,Audit & compliance,Does the CA Owner document in the CP/CPS the trust purpose served by each Root CA Certificate in this hierarchy (as defined in the Apple Root Program Policy)?,
General PKI,Audit & compliance,Are the CA Owner's policy documents each scoped to a single Trust Purpose (a single CP/CPS may cover multiple hierarchies that share the same Trust Purpose)?,
General PKI,Audit & compliance,"Does the CA Owner record every pre-issuance linting decision (block, advisory, or override) to its issuance audit trail?",
General PKI,Audit & compliance,Does the CA Owner operate an internal PKI compliance function that is organizationally independent from operations?,
General PKI,Audit & compliance,Does the CA Owner comply with each new industry-standard requirement by its effective date?,
General PKI,Audit & compliance,"Does the CA Owner maintain a documented process for tracking changes to CA/B Forum, Apple Root Program, and CCADB requirements?",
General PKI,Audit & compliance,"Are all certificate profiles documented in the relevant CP/CPS, including all fields and properties in use?",
General PKI,Audit & compliance,Does the CA Owner document in the CP/CPS the geographic regions from which it accepts Subscribers?,
General PKI,Audit & compliance,"Does the CA Owner state in its CP/CPS that it does not use publicly-trusted hierarchies for enterprise-only or locally-trusted use cases, and that it offers separate private hierarchies for those?",
General PKI,Audit & compliance,Does the CA Owner describe policies and practices for this hierarchy in a single combined CP/CPS authored in Markdown format and free-standing (does not require external policy documents to interpret)?,
General PKI,Audit & compliance,"Does the CA Owner document in the CP/CPS the geographic regions where its CA infrastructure operates (key-holding, signing, and certificate-status systems)?",
General PKI,Audit & compliance,Does the CA Owner document in the CP/CPS its use (or non-use) of cross-certification between Root CA generations?,
General PKI,Audit & compliance,Does the CA Owner follow a formal compliance or risk-management framework (such as ISO 27001 or NIST 800-53) that has been operational for at least 2 years?,
General PKI,Key management,Does the CA Owner limit the maximum age of key material used for Root CA Certificates to 15 years or less?,
General PKI,Key management,Does the CA Owner verify at least annually that complete cradle-to-grave records (including all key-signing ceremony records) exist for every Root CA in this hierarchy?,
General PKI,Key management,Does the CA Owner maintain sole control over all CA key material in this hierarchy?,
General PKI,Key management,Does the CA Owner generate and store CA private keys in FIPS 140-2 (or 140-3) Level 3 or higher certified hardware operating in a Level 3 or higher compliant mode?,
General PKI,Root lifecycle & agility,Does the CA Owner intend to sign replacement Root CA Certificates at least 2 years before current Root expiration and submit them to the Apple Root Program at least 18 months before production use?,
General PKI,Root lifecycle & agility,"Does the CA Owner maintain a documented process to transition to replacement signature, hash, or key-establishment algorithms when a cryptographic algorithm in use is found to be weakened or broken?",
General PKI,Root lifecycle & agility,"By 2030-12-31, will every Root CA hierarchy the CA Owner has in the Apple Root Program serve only one Trust Purpose? The CA Owner may reach this by retiring or replacing any hierarchy that serves more than one today.",
General PKI,Root lifecycle & agility,"Does the CA Owner avoid placing any non-Apple Trust Purpose (such as Document Signing, IoT, or Time Stamping) on a Root CA hierarchy that also serves an Apple Trust Purpose?",
General PKI,Root lifecycle & agility,Does the CA Owner intend to generate new Root CA certificates at least every 5 years?,
General PKI,Root lifecycle & agility,Does the CA Owner migrate issuance from one Root CA generation to the next at least every 7 years?,
General PKI,Root lifecycle & agility,Does the CA Owner require zero issuance from a deprecated Root CA for at least 12 months before requesting its removal from the Apple Root Program?,
General PKI,Root lifecycle & agility,Does the CA Owner ensure no unexpired leaf certificates (except test certificates) chain to a deprecated Root CA before requesting its removal?,
General PKI,Root lifecycle & agility,Does the CA Owner maintain a documented Root CA certificate replacement process including the trigger criteria for replacement?,
General PKI,Subordinate CA,"Is every CA certificate in this hierarchy operated by the CA Owner itself, with no Externally-Operated Subordinate CA run by a separate legal entity?",
General PKI,Subordinate CA,Does the CA Owner commit not to delegate any subordinate CA in this hierarchy to a separate legal entity in the future without Apple approval?,
General PKI,Subordinate CA,Does the CA Owner operate this hierarchy without External Registration Authorities (RAs)?,
General PKI,Subordinate CA,"For every Externally-Operated Subordinate CA and every inbound cross-signed CA certificate in this hierarchy that may exist, is pathLenConstraint set to 0, so the external operator cannot issue further subordinate CA certificates?",
General PKI,Subordinate CA,Does the CA Owner cap subordinate CA certificate validity at 3 years or less (Apple's target)?,
General PKI,Subordinate CA,Does the CA Owner cap subordinate CA certificate validity at 5 years or less (Apple's maximum)?,
General PKI,Linting,"Does the CA Owner run weak-key and known-bad-key detection (such as badkeys, pwnedkeys, ROCA, and Debian weak keys) at issuance and block issuance on a hit?",
General PKI,Linting,"Does the CA Owner lint every pre-sign certificate before attempting pre-certificate or final certificate issuance with at least one industry-recognized tool (such as pkilint, zlint, x509lint, or Cablint)?",
General PKI,Linting,Does linting block issuance when it finds an error?,
General PKI,Linting,"Does the CA Owner run its own post-issuance linting across all valid certificates, rather than relying on external CT-log monitoring (such as crt.sh) as a substitute?",
General PKI,Linting,Does the CA Owner perform documented manual content review for semantic errors that automated linting cannot catch (such as organization-name accuracy in organization-validated certificates)?,
General PKI,Linting,Does the CA Owner's linting scope extend beyond subscriber certificates to CRLs and ARLs and to subordinate CA certificates?,
General PKI,Linting,Does the CA Owner perform post-issuance linting on all valid certificates (pre-certificates or final certificates) with detection latency of 24 hours or less and maintain a documented severity-prioritized remediation process?,
General PKI,Linting,"If the CA Owner disables any lints, are the disabled lints, the disabling rationale, and the per-lint applicability justification fully documented?",
General PKI,Linting,Does the CA Owner operate at least two distinct linting tools (defense in depth)?,
General PKI,Linting,Does the CA Owner refresh its weak-key and known-bad-key dataset at least every 90 days?,
General PKI,Linting,"Does the CA Owner currently perform certificate linting (pre-issuance, post-issuance, or both)?",
General PKI,Linting,"Does the CA Owner maintain a documented investigation, escalation, and trend-tracking process for pre-issuance linting failures?",
General PKI,Linting,"Does the CA Owner deploy updates to its linting tools within 90 days of upstream release, after testing in a staging environment?",
General PKI,Certificate profile & issuance,"In the last 2 years, has the CA Owner avoided any unauthorized issuance or mis-issuance event?",
General PKI,Revocation readiness,Does the CA Owner test at least annually that it can revoke all active certificates within 24 hours in case of a mass-revocation event?,
